table_name,created_in_migrations
public.career_predictions,202604130002_ai_tables.sql
public.career_progress_history,000_initial_schema.sql
public.career_readiness_scores,000_initial_schema.sql
public.career_role_skills,000_initial_schema.sql
public.career_role_transitions,000_initial_schema.sql
public.career_roles,000_initial_schema.sql
public.career_simulations,000_initial_schema.sql
public.career_skills_registry,000_initial_schema.sql
public.certifications,000_initial_schema.sql
public.change_logs,000_initial_schema.sql
public.chi_scores,000_initial_schema.sql;20260410020500_chi_scores_partition_lifecycle.sql;20260410162714_remote_schema.sql
public.chi_scores_2026_04,20260410162714_remote_schema.sql
public.chi_scores_2026_05,20260410162714_remote_schema.sql
public.chi_scores_2026_06,20260410162714_remote_schema.sql
public.chi_scores_default,20260410162714_remote_schema.sql
public.chi_scores_legacy,20260410162714_remote_schema.sql
public.cms_career_domains,000_initial_schema.sql
public.cms_education_levels,000_initial_schema.sql
public.cms_job_families,000_initial_schema.sql
public.cms_roles,000_initial_schema.sql
public.cms_salary_benchmarks,000_initial_schema.sql
public.cms_skill_clusters,000_initial_schema.sql
public.cms_skills,000_initial_schema.sql
public.consent_versions,000_initial_schema.sql;20260601000001_governance_foundation_RECONSTRUCTED.sql
public.conversion_aggregates,000_initial_schema.sql
public.conversion_events,000_initial_schema.sql
public.copilot_conversations,000_initial_schema.sql
public.copilot_grounding_failures,000_initial_schema.sql
public.copilot_rag_contexts,000_initial_schema.sql
public.countries_master,20260526000001_phase1a_academic_taxonomy_infrastructure.sql
public.courses,000_initial_schema.sql
public.cover_letters,202604130001_baseline_schema.sql
public.credit_operation_costs,000_initial_schema.sql
public.curriculum_regions,20260526000001_phase1a_academic_taxonomy_infrastructure.sql
public.daily_career_insights,000_initial_schema.sql
public.daily_metric_snapshots,000_initial_schema.sql
public.edu_academic_records,000_initial_schema.sql
public.edu_career_conversations,000_initial_schema.sql
public.edu_career_predictions,000_initial_schema.sql
public.edu_career_simulations,000_initial_schema.sql
public.edu_cognitive_results,000_initial_schema.sql
public.edu_education_roi,000_initial_schema.sql
public.edu_extracurricular,000_initial_schema.sql
public.edu_skill_recommendations,000_initial_schema.sql
public.edu_stream_scores,000_initial_schema.sql
public.edu_student_skills,000_initial_schema.sql
public.edu_students,000_initial_schema.sql
public.emp_employer_users,000_initial_schema.sql
public.emp_employers,000_initial_schema.sql
public.emp_job_roles,000_initial_schema.sql
public.emp_talent_signals,000_initial_schema.sql
public.event_outbox,000_initial_schema.sql
public.external_salary_apis,000_initial_schema.sql
public.gcid_aggregated_cache,000_initial_schema.sql
public.gcid_analytics_snapshots,000_initial_schema.sql
public.generated_cvs,000_initial_schema.sql
public.governance_contract_versions,20260526000007_phase1a_distributed_governance.sql
public.health_check,000_initial_schema.sql;20260421000001_audit_fixes.sql
public.idempotency_keys,000_initial_schema.sql
public.import_logs,000_initial_schema.sql
public.intelligence_confidence_snapshots,20260608000001_intelligence_foundation_layer.sql
public.intelligence_consent_ledger,20260601000001_governance_foundation_RECONSTRUCTED.sql
public.intelligence_entity_snapshots,20260608000001_intelligence_foundation_layer.sql
public.intelligence_explainability_snapshots,20260601000001_governance_foundation_RECONSTRUCTED.sql
public.intelligence_explanation_details,20260608000001_intelligence_foundation_layer.sql
public.intelligence_pipeline_runs,20260601000001_governance_foundation_RECONSTRUCTED.sql
public.intelligence_recommendation_factors,20260608000001_intelligence_foundation_layer.sql
public.intelligence_recommendations,20260608000001_intelligence_foundation_layer.sql
public.jd_analysis_logs,000_initial_schema.sql
public.job_analyses,000_initial_schema.sql
public.job_applications,000_initial_schema.sql
public.job_embeddings,000_initial_schema.sql
public.job_families,000_initial_schema.sql
public.job_listings_cache,000_initial_schema.sql
public.job_match_results,000_initial_schema.sql
public.jobs,000_initial_schema.sql
public.learning_paths_cache,000_initial_schema.sql
public.learning_resources,000_initial_schema.sql
public.lmi_career_market_scores,000_initial_schema.sql
public.lmi_career_predictions,000_initial_schema.sql
public.lmi_ingestion_runs,000_initial_schema.sql
public.lmi_job_market_data,000_initial_schema.sql
public.market_intelligence_cache,000_initial_schema.sql
public.market_intelligence_sync,000_initial_schema.sql
public.metrics_daily_snapshots,000_initial_schema.sql
public.notification_delivery,000_initial_schema.sql
public.notification_jobs,000_initial_schema.sql
public.notifications,000_initial_schema.sql
public.onboarding_progress,000_initial_schema.sql
public.opportunity_radar_results,000_initial_schema.sql
public.payment_logs,000_initial_schema.sql
public.pending_entries,000_initial_schema.sql
public.personalized_recommendations,000_initial_schema.sql
public.pi_ai_model_settings,000_initial_schema.sql
public.pi_ai_prompts,000_initial_schema.sql
public.pi_ai_usage_logs,000_initial_schema.sql
public.pi_career_datasets,000_initial_schema.sql
public.pi_career_paths,000_initial_schema.sql
public.pi_chi_weights,000_initial_schema.sql
public.pi_feature_flags,000_initial_schema.sql
public.pi_market_data_sources,000_initial_schema.sql
public.pi_skill_taxonomy,000_initial_schema.sql
public.pi_subscription_plans,000_initial_schema.sql
public.pi_training_sources,000_initial_schema.sql
public.professional_career_profiles,000_initial_schema.sql
public.profiles,000_initial_schema.sql;supabase_bootstrap_fix.sql
public.qualifications,000_initial_schema.sql
public.rate_limits,000_initial_schema.sql
public.resume_analyses,000_initial_schema.sql
public.resume_exports,000_initial_schema.sql
public.resume_growth_signals,000_initial_schema.sql
public.resume_scores,000_initial_schema.sql
public.resume_versions,000_initial_schema.sql
public.resumes,000_initial_schema.sql
public.risk_analysis_results,000_initial_schema.sql
public.role_aliases,000_initial_schema.sql
public.role_education,000_initial_schema.sql
public.role_market_data,000_initial_schema.sql
public.role_market_demand,000_initial_schema.sql
public.role_salary_market,000_initial_schema.sql
public.role_skills,000_initial_schema.sql
public.role_transitions,000_initial_schema.sql
public.roles,000_initial_schema.sql
public.salary_bands,000_initial_schema.sql
public.salary_data,000_initial_schema.sql
public.sch_school_students,000_initial_schema.sql
public.sch_school_users,000_initial_schema.sql
public.sch_schools,000_initial_schema.sql
public.search_events,000_initial_schema.sql
public.secrets_rotation_log,000_initial_schema.sql
public.semantic_match_cache,000_initial_schema.sql
public.signal_category_hierarchy,20260608000001_intelligence_foundation_layer.sql;migration_1A_02_core_tables.sql
public.signal_lineage,migration_1A_02_core_tables.sql
public.signal_ontology_edges,20260608000001_intelligence_foundation_layer.sql;migration_1A_03_and_04.sql
public.signal_registry_audit_log,migration_1A_02_core_tables.sql
public.signal_weight_versions,20260601000001_governance_foundation_RECONSTRUCTED.sql
public.sim_source_audit_log,20260706000001_wp_p2_01_sim_enterprise_foundation.sql
public.sim_source_health_snapshots,20260706000001_wp_p2_01_sim_enterprise_foundation.sql
public.sim_source_relationships,20260706000001_wp_p2_01_sim_enterprise_foundation.sql
public.sim_sources,20260706000001_wp_p2_01_sim_enterprise_foundation.sql
public.skill_demand,000_initial_schema.sql
public.skill_demand_analyses,000_initial_schema.sql
public.skill_embeddings,000_initial_schema.sql
public.skill_keywords,000_initial_schema.sql
public.skill_relationships,000_initial_schema.sql
public.skills,000_initial_schema.sql;202604130003_roles_skills.sql
public.state_language_mapping,20260526000001_phase1a_academic_taxonomy_infrastructure.sql
public.student_career_profiles,000_initial_schema.sql
public.student_onboarding_drafts,000_initial_schema.sql
public.subject_stream_map,20260526000001_phase1a_academic_taxonomy_infrastructure.sql
public.subscription_credit_plans,000_initial_schema.sql
public.subscription_events,000_initial_schema.sql
public.subscriptions,000_initial_schema.sql
public.sync_locks,000_initial_schema.sql
public.sync_logs,000_initial_schema.sql
public.taxonomy_seed_versions,20260526000006_phase1a_operational_governance.sql
public.uni_programs,000_initial_schema.sql
public.uni_student_matches,000_initial_schema.sql
public.uni_universities,000_initial_schema.sql
public.uni_university_users,000_initial_schema.sql
public.usage_logs,000_initial_schema.sql
public.userProfiles,000_initial_schema.sql
public.user_activity_events,000_initial_schema.sql
public.user_behavior_events,000_initial_schema.sql
public.user_fcm_tokens,000_initial_schema.sql
public.user_personalization_profile,000_initial_schema.sql
public.user_profiles,000_initial_schema.sql
public.user_quota,000_initial_schema.sql
public.user_roles,000_initial_schema.sql
public.user_skills,202604130003_roles_skills.sql
public.user_vectors,000_initial_schema.sql
public.users,000_initial_schema.sql
risk_analysis_results,003_ai_event_bus.sql
semantic_match_cache,001_semantic_ai_upgrade.sql
signal_confidence_models,20260525000001_cross_domain_intelligence_phase3d.sql
signal_coverage_profiles,20260516000001_phase4a_intelligence_quality.sql
signal_relationships,20260525000001_cross_domain_intelligence_phase3d.sql
signal_reliability_scores,20260516000001_phase4a_intelligence_quality.sql
skill_embeddings,001_semantic_ai_upgrade.sql
student_academic_records,20260522000001_student_academic_records.sql
student_academic_subjects,20260522000001_student_academic_records.sql
student_activities,20260523000001_student_activities_phase3b.sql
student_activity_achievements,20260523000001_student_activities_phase3b.sql
student_activity_reflections,20260523000001_student_activities_phase3b.sql
student_cognitive_responses,20260524000001_student_cognitive_phase3c.sql
student_cognitive_signals,20260524000001_student_cognitive_phase3c.sql
student_education_profiles,20260518000001_student_onboarding_foundation.sql
student_onboarding_sessions,20260518000001_student_onboarding_foundation.sql
student_signal_evidence,20260525000001_cross_domain_intelligence_phase3d.sql
student_signal_vectors,20260525000001_cross_domain_intelligence_phase3d.sql
user_behavior_events,004_ai_personalization_engine.sql
user_opportunity_matches,002_career_opportunity_radar.sql
user_personalization_profile,004_ai_personalization_engine.sql
was,20260520000002_fix_current_step_constraint.sql
